filename,winner,description,postal address,city,country,value
b08_njoftim_per_dhenje_te_kontrates_1 (261).pdf,KUVENDI I KOMUNES SE PRISHTINES,"Furnizimi,servisimi,pastrimi dhe mirëmbajtja të aparateve kundër zjarrit për rezidentet e SHPMPF",Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,694.80
b08_njoftim_per_dhenje_te_kontrates (434).pdf,KUVENDI I KOMUNES SE PRISHTINES,"Furnizim me set carcafësh , kallef jorgani dhe jorgan",Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"10 915,00"
b08_njoftim_per_dhenje_te_kontrates_1 (148).pdf,KUVENDI I KOMUNES SE PRISHTINES,Dezinfektimi i objekteve per nevojat e Komunes se Prishtines,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"68 400,00"
njoftim_per_dhenje_te_kontrates (1).pdf,"Komuna e Prishtinës
Rruga UÇK nr.2","Furnizimi me makineri, paisje për kamion dhe bartjen e makinerisë e BPZ-së","Adresa Postare: Rruga UÇK nr.2
Prishtinë 10000 Prishtinë",Prishtinë Kodi postar: 10000 Vendi: Prishtinë,Prishtinë,
b08_njoftim_per_dhenje_te_kontrates (822).pdf,KUVENDI I KOMUNES SE PRISHTINES,,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"139,247.58"
b08_njoftim_per_dhenje_te_kontrates (571).pdf,KUVENDI I KOMUNES SE PRISHTINES,Konkurs projektimi per renovim infrastrukturor dhe artistik te tunelit te kurrizit - Procedure e,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"38 982,00"
b08_njoftim_per_dhenje_te_kontrates (121).pdf,KUVENDI I KOMUNES SE PRISHTINES,"Ndërtimi i rrugës ""Rimanisht- Sharban""-Prishtinë",Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"564.648,77"
b08_njoftim_per_dhenje_te_kontrates_2 (10).pdf,KUVENDI I KOMUNES SE PRISHTINES,"Furnizim me paisje te TI-së- Server, Kompjuter,Llaptop",Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"49.336,00"
b08_njoftim_per_dhenje_te_kontrates_3 (10).pdf,KUVENDI I KOMUNES SE PRISHTINES,"Rikonstruimi dhe ndertimi i rrugeve Malush Kosova, Ilir Konushevci, Ahmet Krasniqi, Gjergj Balsha dhe Toni Bler, Shkelzen HAradinaj - faza e II-te, Uran Ajeti, Aziz Abrashi",Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"244 834,56"
b08_njoftim_per_dhenje_te_kontrates_1 (236).pdf,KUVENDI I KOMUNES SE PRISHTINES,Ndertimi i kraheve te rruges Muharrem Fejza dhe Rikonstruimi i rrugeve brenda Zones Urbane,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"486,448.01"
